tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1251257941510041604	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1243474733351436289	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1248584031370870784	no	NA	NA	NA	NA	yes_rumor_conspiracy	yes_classified_as_in_question_6
1251947418465296384	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1249247688354381824	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1245152465487638534	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1245988073038643202	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1242402214850768896	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1241664038997823488	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1246433729217728512	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1240603314980392966	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1254633936929595392	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1255390116828401664	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1241120815212564487	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1240701113138941952	no	NA	NA	NA	NA	no_not_harmful	yes_asks_question
1239232908730216449	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1238094774453833730	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1238154603583156225	yes	1_no_definitely_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1247041357052600322	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1238165877729759238	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1245029174189985793	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1239152526026518534	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	yes_not_urgent	no_not_harmful	no_not_interesting
1244341963480076290	yes	5_yes_definitely_contains_false_info	5_yes_definitely_of_interest	4_yes_probably_harmful	yes_very_urgent	yes_panic	yes_blame_authorities
1242875052300869633	yes	1_no_definitely_contains_no_false_info	2_no_probably_not_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1242484308914429960	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1240284495489781762	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1249751361463504902	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1242875426537603073	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1237723027707740166	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1252655848305893376	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1250813203027767296	no	NA	NA	NA	NA	yes_xenophobic_racist_prejudices_or_hate_speech	yes_blame_authorities
1253215345273384960	no	NA	NA	NA	NA	no_not_harmful	yes_asks_question
1252652042767806464	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1241638590347726848	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1247575379419770881	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1249236711177179136	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1245816912006860800	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1242824275960172544	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1246729594503397377	no	NA	NA	NA	NA	no_not_harmful	yes_asks_question
1241446862995042304	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1253781204454780929	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1240186177992503296	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1250784467851128843	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1241693702512312320	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1243450283885309952	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	yes_very_urgent	no_not_harmful	no_not_interesting
1254463173643698178	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	3_not_sure	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1248170506198683649	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1235381919371718663	no	NA	NA	NA	NA	no_not_harmful	yes_blame_authorities
1254036225243205632	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1252571544133476352	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1245039945749794817	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1250781530923896833	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1245406058547499011	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1250393712460472322	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1244675309531693057	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1246834361657425922	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1239131329763184647	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1237794309581213699	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1244569857800253442	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1238788790287818756	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1248609646044041216	no	NA	NA	NA	NA	no_not_harmful	yes_contains_advice
1253691872964489219	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1243078002700935169	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1238586681382572033	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1242737700974858240	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1246756956381077505	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
